,signal_001,signal_002,signal_003,signal_004,signal_005,signal_006,signal_007,signal_008,signal_009,signal_010,signal_011,signal_012,signal_013,signal_014
00:01:51,1.460059047,28.69462013,0.502314687,0.502314687,1.710801005,27.9368,148.6439056,18.21876907,24.69457054,0.5,-0.002555004,0.0,996.7432251,0.001585932
00:01:52,1.468637943,28.69345093,0.502285182,0.502285182,1.714498043,23.28066063,148.6342926,18.21876907,24.6962204,0.5,-0.002526849,0.0,996.7434082,0.001874233
00:01:53,1.442814946,28.69227982,0.502255678,0.502255678,1.718194008,19.40055084,148.5317993,18.21876907,24.69787979,0.5,-0.002498695,0.0,996.7435913,0.002162533
00:01:54,1.493440986,28.69111061,0.502226174,0.502226174,1.725384951,16.16712952,148.429306,18.21876907,24.69952965,0.5,-0.002470541,0.0,996.7437744,0.002450833
00:01:55,1.455574989,28.68995094,0.502196729,0.502196729,1.722097993,13.47261047,148.2861938,18.21878052,24.70119095,0.5,-0.002442386,0.0,996.7440186,0.002306683
00:01:56,1.514191985,28.68877029,0.502167225,0.502167225,1.726189971,11.22716999,148.2290039,18.21878052,24.70284081,0.5,-0.002414232,0.0,996.7442017,0.002162533
00:01:57,1.504523993,28.68759918,0.502137721,0.502137721,1.724369049,9.355975151,148.0955048,18.21878052,24.70449066,0.5,-0.002386078,0.0,996.7443848,0.002018382
00:01:58,1.451233983,28.68642998,0.502108216,0.502108216,1.718644023,17.24840927,148.0287018,18.21878052,24.70615005,0.5,-0.002357923,0.0,996.7446289,0.001874232
00:01:59,1.447271943,28.68526077,0.502078712,0.502078712,1.712056041,25.2364006,148.2671967,18.21878052,24.70779991,0.5,-0.002329769,0.0,996.744812,0.001730082
00:02:00,1.376821995,28.6840992,0.502049327,0.502049327,1.704313993,32.93883133,148.5628052,18.21878052,24.70944977,0.5,-0.002301615,0.0,996.744873,0.001369707
00:02:01,1.422628045,28.68292046,0.502019823,0.502019823,1.705083013,38.11299896,149.1112061,18.21878052,24.71110916,0.5,-0.002273461,0.0,996.7451172,0.001009332
00:02:02,1.415498972,28.68176079,0.501990318,0.501990318,1.705852032,43.28717041,149.9313049,18.21879005,24.71276093,0.5,-0.002245306,0.0,996.7453003,0.0
00:02:03,1.443622947,28.68058968,0.501960814,0.501960814,1.699314952,36.07263947,150.4701996,18.21879005,24.71441078,0.5,-0.002217152,0.0,996.7454834,0.0
00:02:04,1.422319055,28.67941093,0.50193131,0.50193131,1.692777038,30.06052971,150.8993073,18.21879005,24.71607018,0.5,-0.002188998,0.0,996.7457275,0.001009332
00:02:05,1.426681995,28.67824936,0.501901686,0.501901686,1.69787097,25.05043983,151.1567993,18.21879005,24.71772003,0.5,-0.002160843,0.0,996.7457886,0.000769082
00:02:06,1.411082983,28.67707062,0.501872182,0.501872182,1.69787097,22.50876999,151.4810028,18.21879005,24.71937943,0.5,-0.002132689,0.0,996.7460938,0.000528832
00:02:07,1.391101003,28.67591095,0.501842678,0.501842678,1.700425029,18.75731087,151.8052979,18.21879005,24.72102928,0.5,-0.002104535,0.0,996.7462769,0.000288582
00:02:08,1.454944015,28.67473984,0.501813173,0.501813173,1.700196981,15.63109016,152.1963959,18.21879005,24.72267914,0.5,-0.00207638,0.0,996.746521,0.002450833
00:02:09,1.439435005,28.67355919,0.501783729,0.501783729,1.69996798,13.02591038,152.5397034,18.21879959,24.72434044,0.5,-0.002048226,0.0,996.746582,0.004613084
00:02:10,1.434404016,28.67239952,0.501754224,0.501754224,1.695925951,10.85492039,152.7686005,18.21879959,24.7259903,0.5,-0.002020072,0.0,996.7468262,0.0
00:02:11,1.466109991,28.67123032,0.50172472,0.50172472,1.705829978,9.045767784,153.1118927,18.21879959,24.53749084,0.5,-0.001991917,0.0,996.7470093,0.0
00:02:12,1.466007948,28.6700592,0.501695216,0.501695216,1.709933996,7.53813982,153.3074036,18.21879959,24.53749084,0.5,-0.001963763,0.0,996.7471924,0.0
00:02:13,1.488389969,28.66889,0.501665711,0.501665711,1.714036942,6.281783104,153.6578979,18.21879959,24.53749084,0.5,-0.001935609,0.0,996.7473755,0.0
00:02:14,1.442935944,28.66772079,0.501636207,0.501636207,1.721835971,5.32206583,154.0083008,18.21879959,24.53749084,0.5,-0.001907455,0.0,996.7476196,0.0
